piece,material,grounded,massKg,support,released,removed,cx,cy,cz
86,ClayBrick,0,2.7216,Supported,0,0,270.000,0.000,30.000
87,ClayBrick,0,2.7216,Supported,0,0,292.500,0.000,30.000
88,ClayBrick,0,2.7216,Supported,0,0,315.000,0.000,30.000
89,ClayBrick,0,2.7216,Supported,0,0,337.500,0.000,30.000
90,ClayBrick,0,2.7216,Supported,0,0,360.000,0.000,30.000
91,ClayBrick,0,2.7216,Supported,0,0,382.500,0.000,30.000
92,ClayBrick,0,2.7216,Supported,0,0,405.000,0.000,30.000
93,ClayBrick,0,2.7216,Supported,0,0,427.500,0.000,30.000
94,ClayBrick,0,2.7216,Supported,0,0,450.000,0.000,30.000
95,ClayBrick,0,2.7216,Supported,0,0,472.500,0.000,30.000
96,ClayBrick,0,2.7216,Supported,0,0,495.000,0.000,30.000
97,ClayBrick,0,2.7216,Supported,0,0,517.500,0.000,30.000
98,ClayBrick,0,2.7216,Supported,0,0,540.000,0.000,30.000
99,ClayBrick,0,2.7216,Supported,0,0,562.500,0.000,30.000
100,ClayBrick,0,2.7216,Supported,0,0,585.000,0.000,30.000
101,ClayBrick,0,2.7216,Supported,0,0,607.500,0.000,30.000
102,ClayBrick,0,2.7216,Supported,0,0,630.000,0.000,30.000
103,ClayBrick,0,1.2975,Supported,0,0,0.000,0.000,37.500
104,ClayBrick,0,2.7216,Supported,0,0,11.250,0.000,37.500
105,ClayBrick,0,2.7216,Supported,0,0,33.750,0.000,37.500
106,ClayBrick,0,2.7216,Supported,0,0,56.250,0.000,37.500
107,ClayBrick,0,2.7216,Supported,0,0,78.750,0.000,37.500
108,ClayBrick,0,2.7216,Supported,0,0,101.250,0.000,37.500
109,ClayBrick,0,2.7216,Supported,0,0,123.750,0.000,37.500
110,ClayBrick,0,2.7216,Supported,0,0,146.250,0.000,37.500
111,ClayBrick,0,2.7216,Supported,0,0,168.750,0.000,37.500
112,ClayBrick,0,2.7216,Supported,0,0,191.250,0.000,37.500
113,ClayBrick,0,2.7216,Supported,0,0,213.750,0.000,37.500
114,ClayBrick,0,2.7216,Supported,0,0,236.250,0.000,37.500
115,ClayBrick,0,2.7216,Supported,0,0,258.750,0.000,37.500
116,ClayBrick,0,2.7216,Supported,0,0,281.250,0.000,37.500
117,ClayBrick,0,2.7216,Supported,0,0,303.750,0.000,37.500
118,ClayBrick,0,2.7216,Supported,0,0,326.250,0.000,37.500
119,ClayBrick,0,2.7216,Supported,0,0,348.750,0.000,37.500
120,ClayBrick,0,2.7216,Supported,0,0,371.250,0.000,37.500
121,ClayBrick,0,2.7216,Supported,0,0,393.750,0.000,37.500
122,ClayBrick,0,2.7216,Supported,0,0,416.250,0.000,37.500
123,ClayBrick,0,2.7216,Supported,0,0,438.750,0.000,37.500
124,ClayBrick,0,2.7216,Supported,0,0,461.250,0.000,37.500
125,ClayBrick,0,2.7216,Supported,0,0,483.750,0.000,37.500
126,ClayBrick,0,2.7216,Supported,0,0,506.250,0.000,37.500
127,ClayBrick,0,2.7216,Supported,0,0,528.750,0.000,37.500
