frame,secondsSinceCut,released,moving,maxDropCm,meanDropCm,maxDisplacementCm,belowGround,realMsSinceLastFrame
109,1.8000,718,574,465.488,345.562,644.568,0,18.75
110,1.8167,718,562,465.496,346.153,647.746,0,17.62
111,1.8333,718,554,465.485,346.648,648.980,0,17.32
112,1.8500,718,532,465.489,347.101,649.489,0,17.59
113,1.8667,718,526,465.529,347.526,649.617,0,17.61
114,1.8833,718,497,465.486,347.929,651.069,0,16.92
115,1.9000,718,495,465.486,348.264,655.526,0,18.29
116,1.9167,718,482,465.486,348.600,662.267,0,16.73
117,1.9333,718,463,465.487,348.957,669.632,0,17.23
118,1.9500,718,458,465.485,349.325,675.772,0,16.65
119,1.9667,718,435,465.602,349.696,678.877,0,17.48
120,1.9833,718,417,465.486,350.075,679.514,0,17.16
121,2.0000,718,411,465.486,350.402,679.653,0,341.06
122,2.0167,718,395,465.486,350.696,679.924,0,15.23
123,2.0333,718,377,465.495,350.962,680.991,0,16.43
124,2.0500,718,369,465.485,351.221,683.330,0,17.10
125,2.0667,718,342,465.488,351.448,687.076,0,16.61
126,2.0833,718,329,465.490,351.634,691.983,0,17.78
127,2.1000,718,321,465.496,351.797,697.500,0,17.68
128,2.1167,718,303,465.486,351.972,702.933,0,16.66
129,2.1333,718,291,465.486,352.139,706.399,0,16.04
130,2.1500,718,277,465.490,352.281,708.114,0,16.19
131,2.1667,718,259,465.498,352.413,709.479,0,17.19
132,2.1833,718,242,465.487,352.551,710.568,0,16.28
133,2.2000,718,232,465.486,352.666,711.552,0,19.11
134,2.2167,718,230,465.486,352.761,712.659,0,15.77
135,2.2333,718,222,465.486,352.834,714.121,0,16.27
136,2.2500,718,210,465.486,352.886,714.300,0,15.95
137,2.2667,718,201,465.490,352.915,714.641,0,15.43
138,2.2833,718,188,465.486,352.957,715.712,0,15.24
139,2.3000,718,188,465.486,353.000,717.457,0,17.49
140,2.3167,718,177,465.486,353.059,719.700,0,17.77
141,2.3333,718,166,465.486,353.118,722.185,0,15.29
142,2.3500,718,174,465.487,353.158,724.201,0,15.52
143,2.3667,718,159,465.486,353.199,724.829,0,15.32
144,2.3833,718,139,465.486,353.234,725.388,0,14.93
145,2.4000,718,131,465.486,353.267,725.824,0,16.00
146,2.4167,718,128,465.486,353.308,726.196,0,14.44
147,2.4333,718,116,465.486,353.348,726.463,0,15.28
148,2.4500,718,111,465.486,353.380,726.659,0,14.77
149,2.4667,718,112,465.486,353.409,726.843,0,15.76
150,2.4833,718,106,465.487,353.437,727.086,0,14.48
151,2.5000,718,103,465.486,353.458,726.232,0,16.64
152,2.5167,718,101,465.486,353.479,725.061,0,13.85
153,2.5333,718,90,465.486,353.502,724.048,0,14.80
154,2.5500,718,79,465.486,353.530,723.373,0,15.71
155,2.5667,718,73,465.486,353.559,723.596,0,14.60
156,2.5833,718,74,465.486,353.579,724.423,0,13.97
157,2.6000,718,71,465.486,353.597,725.558,0,15.85
158,2.6167,718,70,465.486,353.620,726.947,0,13.98
159,2.6333,718,61,465.486,353.641,728.531,0,14.32
160,2.6500,718,59,465.486,353.658,730.241,0,13.95
161,2.6667,718,42,465.486,353.675,730.833,0,14.80
162,2.6833,718,46,465.486,353.691,730.623,0,13.62
163,2.7000,718,47,465.486,353.704,730.615,0,15.65
164,2.7167,718,47,465.486,353.711,730.803,0,13.74
165,2.7333,718,44,465.486,353.718,731.115,0,14.03
166,2.7500,718,39,465.486,353.728,731.552,0,13.45
167,2.7667,718,37,465.486,353.738,731.992,0,13.88
168,2.7833,718,32,465.486,353.745,732.412,0,14.01
169,2.8000,718,31,465.486,353.750,732.821,0,15.61
170,2.8167,718,33,465.487,353.758,733.234,0,13.58
171,2.8333,718,31,465.486,353.764,733.675,0,12.87
172,2.8500,718,28,465.486,353.770,733.850,0,14.72
173,2.8667,718,32,465.486,353.775,733.856,0,13.47
174,2.8833,718,35,465.486,353.779,733.881,0,14.89
175,2.9000,718,34,465.486,353.784,733.882,0,15.34
176,2.9167,718,30,465.486,353.790,733.882,0,13.55
177,2.9333,718,30,465.486,353.795,733.882,0,12.93
178,2.9500,718,28,465.486,353.802,733.882,0,13.72
179,2.9667,718,28,465.486,353.809,733.881,0,14.39
180,2.9833,718,26,465.486,353.816,733.881,0,14.12
181,3.0000,718,23,465.486,353.821,733.882,0,324.40
182,3.0167,718,18,465.486,353.824,733.882,0,11.99
183,3.0333,718,19,465.486,353.825,733.883,0,13.04
184,3.0500,718,17,465.486,353.826,733.883,0,13.98
185,3.0667,718,17,465.487,353.828,733.884,0,13.89
186,3.0833,718,17,465.486,353.830,733.884,0,13.19
187,3.1000,718,15,465.486,353.830,733.886,0,14.45
188,3.1167,718,17,465.486,353.830,733.887,0,13.44
189,3.1333,718,14,465.486,353.830,733.887,0,13.10
190,3.1500,718,17,465.486,353.831,733.887,0,12.98
191,3.1667,718,17,465.486,353.832,733.825,0,14.43
192,3.1833,718,15,465.486,353.832,733.811,0,12.90
193,3.2000,718,14,465.486,353.832,733.873,0,14.95
194,3.2167,718,12,465.486,353.833,733.882,0,13.37
195,3.2333,718,14,465.486,353.834,733.885,0,13.33
196,3.2500,718,14,465.486,353.835,733.880,0,13.28
197,3.2667,718,14,465.486,353.835,733.879,0,12.95
198,3.2833,718,12,465.486,353.836,733.880,0,13.63
199,3.3000,718,8,465.486,353.835,733.880,0,15.71
200,3.3167,718,6,465.486,353.835,733.881,0,13.85
201,3.3333,718,8,465.486,353.835,733.883,0,13.34
202,3.3500,718,8,465.486,353.835,733.881,0,13.66
203,3.3667,718,7,465.486,353.836,733.882,0,13.37
204,3.3833,718,5,465.486,353.836,733.883,0,13.79
205,3.4000,718,6,465.486,353.837,733.881,0,15.34
206,3.4167,718,5,465.486,353.837,733.881,0,12.47
207,3.4333,718,6,465.486,353.838,733.881,0,13.02
208,3.4500,718,5,465.486,353.838,733.881,0,12.74
209,3.4667,718,4,465.486,353.838,733.881,0,12.19
210,3.4833,718,3,465.487,353.838,733.881,0,13.83
211,3.5000,718,3,465.486,353.838,733.881,0,14.08
212,3.5167,718,3,465.486,353.838,733.881,0,14.60
213,3.5333,718,2,465.486,353.838,733.881,0,12.72
214,3.5500,718,3,465.486,353.838,733.881,0,14.12
215,3.5667,718,2,465.486,353.838,733.881,0,13.81
216,3.5833,718,1,465.486,353.838,733.881,0,12.43
217,3.6000,718,0,465.486,353.838,733.881,0,14.67
218,3.6167,718,1,465.486,353.838,733.881,0,11.87
219,3.6333,718,3,465.486,353.838,733.881,0,14.34
