frame,secondsSinceCut,released,moving,maxDropCm,meanDropCm,maxDisplacementCm,belowGround,realMsSinceLastFrame
102,1.6833,1436,1229,467.626,339.401,615.072,0,32.75
103,1.7000,1436,1207,467.377,340.647,615.213,0,35.99
104,1.7167,1436,1201,466.791,341.810,616.354,0,32.76
105,1.7333,1436,1196,465.500,342.932,619.997,0,32.80
106,1.7500,1436,1183,465.494,343.967,625.548,0,32.95
107,1.7667,1436,1165,465.528,344.926,632.326,0,33.75
108,1.7833,1436,1145,465.537,345.803,639.168,0,32.98
109,1.8000,1436,1139,465.516,346.542,644.568,0,36.83
110,1.8167,1436,1119,465.496,347.225,647.746,0,32.78
111,1.8333,1436,1094,465.493,347.836,648.980,0,38.98
112,1.8500,1436,1069,465.495,348.419,649.489,0,37.85
113,1.8667,1436,1040,465.498,348.973,649.617,0,42.67
114,1.8833,1436,1009,465.484,349.477,651.069,0,38.20
115,1.9000,1436,988,465.493,349.919,655.526,0,38.45
116,1.9167,1436,960,465.487,350.338,662.267,0,33.14
117,1.9333,1436,923,465.484,350.716,669.632,0,32.25
118,1.9500,1436,878,465.488,351.038,675.772,0,34.09
119,1.9667,1436,847,465.602,351.358,678.877,0,33.53
120,1.9833,1436,820,465.488,351.673,679.514,0,32.82
121,2.0000,1436,803,465.489,351.972,679.653,0,368.51
122,2.0167,1436,780,465.530,352.240,679.924,0,30.22
123,2.0333,1436,755,465.495,352.472,680.991,0,32.85
124,2.0500,1436,729,465.492,352.697,683.330,0,32.09
125,2.0667,1436,688,465.493,352.912,687.076,0,31.96
126,2.0833,1436,676,465.490,353.101,691.983,0,32.91
127,2.1000,1436,659,465.496,353.287,697.500,0,32.89
128,2.1167,1436,627,465.495,353.478,702.933,0,31.50
129,2.1333,1436,601,465.494,353.653,706.399,0,32.93
130,2.1500,1436,599,465.490,353.811,708.114,0,31.16
131,2.1667,1436,555,465.498,353.963,709.479,0,31.44
132,2.1833,1436,513,465.488,354.114,710.568,0,30.89
133,2.2000,1436,525,465.493,354.243,711.552,0,34.20
134,2.2167,1436,493,465.489,354.358,712.659,0,30.82
135,2.2333,1436,468,465.488,354.463,714.121,0,31.99
136,2.2500,1436,449,465.487,354.562,714.300,0,31.51
137,2.2667,1436,421,465.490,354.646,714.641,0,30.36
138,2.2833,1436,416,465.489,354.729,715.712,0,30.99
139,2.3000,1436,388,465.490,354.806,717.457,0,33.96
140,2.3167,1436,385,465.492,354.874,719.700,0,30.65
141,2.3333,1436,374,465.488,354.930,722.185,0,31.04
142,2.3500,1436,356,465.490,354.988,724.201,0,31.58
143,2.3667,1436,341,465.488,355.043,724.829,0,30.42
144,2.3833,1436,331,465.488,355.085,725.388,0,31.14
145,2.4000,1436,328,465.488,355.126,725.824,0,33.37
146,2.4167,1436,314,465.491,355.165,726.196,0,30.81
147,2.4333,1436,304,465.564,355.206,726.463,0,30.33
148,2.4500,1436,275,465.544,355.254,726.659,0,31.20
149,2.4667,1436,256,465.556,355.308,726.843,0,29.72
150,2.4833,1436,247,465.527,355.365,727.086,0,31.48
151,2.5000,1436,235,465.492,355.422,726.232,0,35.15
152,2.5167,1436,237,465.488,355.481,725.061,0,29.37
153,2.5333,1436,219,465.494,355.539,724.048,0,29.46
154,2.5500,1436,212,465.508,355.595,723.373,0,28.90
155,2.5667,1436,195,465.558,355.656,723.596,0,29.79
156,2.5833,1436,198,465.520,355.713,724.423,0,29.87
157,2.6000,1436,174,465.496,355.770,725.558,0,31.39
158,2.6167,1436,170,465.508,355.831,726.947,0,28.56
159,2.6333,1436,173,465.506,355.889,728.531,0,29.27
160,2.6500,1436,164,465.504,355.935,730.241,0,28.75
161,2.6667,1436,159,465.499,355.961,730.833,0,29.10
162,2.6833,1436,153,465.498,355.969,730.623,0,29.16
163,2.7000,1436,143,465.497,355.976,730.615,0,30.43
164,2.7167,1436,142,465.502,355.980,730.803,0,28.29
165,2.7333,1436,127,465.501,355.983,731.115,0,29.15
166,2.7500,1436,123,465.500,355.985,731.552,0,27.97
167,2.7667,1436,115,465.521,355.988,731.992,0,28.80
168,2.7833,1436,111,465.507,355.992,732.412,0,28.29
169,2.8000,1436,97,465.502,355.996,732.821,0,31.35
170,2.8167,1436,110,465.502,356.001,733.234,0,28.79
171,2.8333,1436,96,465.513,356.006,733.675,0,26.17
172,2.8500,1436,95,465.498,356.013,733.850,0,29.14
173,2.8667,1436,92,465.508,356.019,733.856,0,28.43
174,2.8833,1436,82,465.499,356.025,733.881,0,26.84
175,2.9000,1436,73,465.487,356.030,733.882,0,30.48
176,2.9167,1436,70,465.494,356.035,733.882,0,27.34
177,2.9333,1436,67,465.491,356.040,733.882,0,29.46
178,2.9500,1436,70,465.501,356.047,733.882,0,29.84
179,2.9667,1436,61,465.487,356.054,733.881,0,28.47
180,2.9833,1436,61,465.489,356.058,733.881,0,27.28
181,3.0000,1436,54,465.493,356.063,733.882,0,347.47
182,3.0167,1436,58,465.489,356.066,733.882,0,25.37
183,3.0333,1436,57,465.491,356.068,733.883,0,27.36
184,3.0500,1436,55,465.486,356.069,733.883,0,27.15
185,3.0667,1436,50,465.488,356.071,733.884,0,27.89
186,3.0833,1436,53,465.488,356.071,733.884,0,26.33
187,3.1000,1436,48,465.490,356.072,733.886,0,29.14
188,3.1167,1436,52,465.490,356.073,733.887,0,26.80
189,3.1333,1436,37,465.487,356.074,733.887,0,27.35
190,3.1500,1436,43,465.489,356.075,733.887,0,27.40
191,3.1667,1436,41,465.487,356.075,733.825,0,27.01
192,3.1833,1436,42,465.487,356.076,733.811,0,26.22
193,3.2000,1436,35,465.487,356.077,733.873,0,29.48
194,3.2167,1436,31,465.487,356.078,733.882,0,26.68
195,3.2333,1436,25,465.488,356.079,733.885,0,26.04
196,3.2500,1436,26,465.490,356.081,733.880,0,26.71
197,3.2667,1436,25,465.487,356.082,733.879,0,27.68
198,3.2833,1436,24,465.487,356.083,733.880,0,26.16
199,3.3000,1436,26,465.488,356.083,733.880,0,28.86
200,3.3167,1436,26,465.490,356.084,733.881,0,26.66
201,3.3333,1436,29,465.488,356.086,733.883,0,27.32
202,3.3500,1436,26,465.488,356.088,733.881,0,26.08
203,3.3667,1436,23,465.493,356.090,733.882,0,28.06
204,3.3833,1436,25,465.491,356.092,733.883,0,27.33
205,3.4000,1436,24,465.487,356.094,733.881,0,30.28
206,3.4167,1436,19,465.489,356.096,733.881,0,26.20
207,3.4333,1436,22,465.488,356.099,733.881,0,28.25
208,3.4500,1436,30,465.490,356.100,733.881,0,25.63
209,3.4667,1436,26,465.487,356.100,733.881,0,29.46
210,3.4833,1436,14,465.488,356.101,733.881,0,26.91
211,3.5000,1436,20,465.488,356.102,733.881,0,28.61
212,3.5167,1436,24,465.489,356.102,733.881,0,26.80
213,3.5333,1436,17,465.488,356.103,733.881,0,26.18
